artist,Biography,Listeners,Playcount,Similar Artists
Bernardo Vazquez," <a href=""https://www.last.fm/music/Bernardo+Vazquez"">Read more on Last.fm</a>",1924,10503,"['Canelita', 'Luis Cortés', 'José Rey', 'Angeliyo El Blanco', 'LOS YAKIS']"
El Duende Callejero," <a href=""https://www.last.fm/music/El+Duende+Callejero"">Read more on Last.fm</a>",3503,38917,"['RaulE', 'Salistre', 'Cosa de Dos Flamenco', 'Astola', 'Diván du Don']"
Sergio Contreras,"Sergio Contreras, nace en Huelva y desde muy pequeño ya muestra interés especial por la música. Su primer contacto importante con la música comienza cuando con apenas 12 años compaginaba sus estudios con su trabajo en la radio hasta hacerse un hueco importante como locutor de radio. Su don de palabra y simpatía no pasaron desapercibidos y le permitieron, además, comenzar su andadura musical como Dj y speaker logrando pinchar en discotecas de alto renombre. <a href=""https://www.last.fm/music/Sergio+Contreras"">Read more on Last.fm</a>",51196,374223,"['Kiko & Shara', 'Decai', 'Los Rebujitos', 'El maki', 'David DeMaría']"
Antonio Carmona,"The name of Antonio Carmona is indissolubly linked to that of Ketama, although he isn't one of its founding members. He is the singer and leader or, at the very least, the most visible element of the band. He has also been considered one of the best percussionists in the country. He has been the main divulger of the Peruvian cajón, which was introduced into flamenco by the Brazilian percussionist Rubem Dantas.

He is one of the leading representatives of new flamenco <a href=""https://www.last.fm/music/Antonio+Carmona"">Read more on Last.fm</a>",30395,170332,"['Pitingo', 'José Mercé', 'Kiko & Shara', 'Sergio Contreras', 'David DeMaría']"
Kañasur," <a href=""https://www.last.fm/music/Ka%C3%B1asur"">Read more on Last.fm</a>",163,1600,"['Cherezade', 'El Suso', 'El biri', 'María Artés Lamorena', 'Fran Ocaña']"
Tomasito,"Tomasito is originally from Jerez de la Frontera, Spain.

Jerez is where the flamenco ""palo"" bulería is most famous. It is a popular music style among namely within the gipsy community, and often sang outside in the streets with great ease and artistry. Nowhere else will you be able to listen  anything similar.

What makes Tomasito unquique is his Rap-Flamenco fusion dancing, together with his Heavy-Flamenco-Punk  mix.

He has written famous ""easy listening"" Spanish pop songs, but what he likes best is mixing his roots with AC/DCs and alikes. <a href=""https://www.last.fm/music/Tomasito"">Read more on Last.fm</a>",10288,49933,"['Calima', 'Lumbre', 'El Canijo de Jerez', 'Raimundo Amador', ""D'Callaos""]"
Tomatito,"José Fernández Torres, known as Tomatito (born Almería, 1958), is a Spanish flamenco guitarist. He was born among great flamenco guitarists, including his father Tomate and uncle Niño Miguel.

Tomatito became a flamenco sensation at an early age when he was discovered by famed guitarist Paco de Lucía and began working in part with legendary flamenco singer Camarón de la Isla.

In 1979, the trio produced a hit called ""La Leyenda del Tiempo."" Their partnership continued until Camarón's death in 1992. <a href=""https://www.last.fm/music/Tomatito"">Read more on Last.fm</a>",74050,454866,"['Vicente Amigo', 'Paco de Lucía', 'Sabicas', 'Camarón de la Isla', 'Enrique Morente']"
Pyllo Cortes," <a href=""https://www.last.fm/music/Pyllo+Cortes"">Read more on Last.fm</a>",849,6856,"['Big Lois', 'M Caló', 'Luis Cortés', 'Galvan Real', 'Keen Levy']"
Sandra Carrasco," <a href=""https://www.last.fm/music/Sandra+Carrasco"">Read more on Last.fm</a>",2435,16879,"['Montse Cortés', 'Miguel Poveda', 'Javier Limón', 'Rocío Márquez', 'Josemi Carmona']"
Moncho Chavea," <a href=""https://www.last.fm/music/Moncho+Chavea"">Read more on Last.fm</a>",17268,143307,"['Cano', 'Liderj', 'Oscar el Ruso', 'Yapi', 'Original Elias']"
El Sebas de la Calle," <a href=""https://www.last.fm/music/El+Sebas+de+la+Calle"">Read more on Last.fm</a>",1659,10035,"['Manuel González (Ex Rebujito)', 'León Bravo', 'La Cebolla', 'El Suso', 'Lorena Santos']"
Miguel Campello," <a href=""https://www.last.fm/music/Miguel+Campello"">Read more on Last.fm</a>",9326,111543,"['El Canijo de Jerez', 'elbicho', 'Antoñito Molina', 'Juanito Makandé', 'Nolasco']"
Manuel Medrano,"Manuel Alejandro Medrano López (Cartagena de Indias, Colombia; 29 de octubre de 1987), es un cantautor colombiano,5​ ganador de dos Premios Grammy Latinos. <a href=""https://www.last.fm/music/Manuel+Medrano"">Read more on Last.fm</a>",119542,2595336,"['Andrés Cepeda', 'Bacilos', 'Morat', 'Reik', 'Mike Bahía']"
Camila,"Camila is a Mexican soft rock group formed in 2005 which reached success in their home country and all over Latin America upon the release of their debut album Todo Cambió. (Not to be confused with South Korean pop group Camila, which can be found here: 카밀라)

The group includes Mario Domm (producer and composer) from Mexico City, Samuel Parra ""Samo"" (vocalist) from Veracruz and Pablo Hurtado (guitarist) from San Luis Potosí.

The group's name came from a friend's idea of calling the group ""Camila"" because it means ""close to God"".  <a href=""https://www.last.fm/music/Camila"">Read more on Last.fm</a>",419737,7487876,"['Reik', 'Sin Bandera', 'Jesse & Joy', 'Ha*Ash', 'La Quinta Estación']"
Nouna," <a href=""https://www.last.fm/music/Nouna"">Read more on Last.fm</a>",928,6348,"['Angeliyo El Blanco', 'Big Lois', 'Manuel Cortés', 'Fran y Nico', 'LOS BANIS']"
David DeMaría,"David DeMaría (born January 20, 1976) is a Spanish singer and songwriter. David was born in Jerez de la Frontera in Cádiz Province, Spain. His career started when he was 14 years old with the Spanish group Kelliam 71. He was with them for 6 years. His first solo album came when he was 19 years old. The self-titled album was followed with Soñar Despierto {Dreaming Awake} in 1997, El Color del Destino {The Color of Destiny} in 2001, Sin Miedo a Perder {Without Fear of Losing} in 2003, and Barcos de Papel {Paper Boats} in 2004. <a href=""https://www.last.fm/music/+noredirect/David+DeMar%C3%ADa"">Read more on Last.fm</a>",45710,371084,"['Diego Martín', 'Merche', 'David Bustamante', 'David Civera', 'Kiko & Shara']"
El Barrio," <a href=""https://www.last.fm/music/El+Barrio"">Read more on Last.fm</a>",42652,795278,"['Fondo Flamenco', 'El Arrebato', 'Niña Pastori', 'Manuel Carrasco', 'Los Chunguitos']"
Montse Cortés," <a href=""https://www.last.fm/music/+noredirect/Montse+Cort%C3%A9s"">Read more on Last.fm</a>",5726,28732,"['Potito', 'La Susi', 'La Tana', 'Marina Heredia', 'Ginesa Ortega']"
Manzanita,"There have been multiple artists that recorded under the name Mananita.

1. Real name: José Manuel Ortega Heredia. Born in 1956 in Madrid, died in 2004 in Alhaurín de la Torre, Málaga.
Alongside Manuel Montoya (from Lole y Manuel), Paco de Lucía and a few others, Manzanita was one of the first to merge, to make progress towards developing new flamenco. Since his first record as a solo artist (""Poco ruido y mucho duende"". 1978), Manzanita has been blending flamenco with rumba or pop. <a href=""https://www.last.fm/music/Manzanita"">Read more on Last.fm</a>",71265,413964,"['Los Chunguitos', 'Los Chichos', 'Camarón de la Isla', 'El Arrebato', 'El Barrio']"
La Puri," <a href=""https://www.last.fm/music/La+Puri"">Read more on Last.fm</a>",382,1422,"['La Cebolla', 'Negro Jari', 'León Bravo', 'Lorena Santos', 'Raul Camacho']"
Manu Tenorio,"Manuel Ángel Vergara Tenorio, más conocido como Manu Tenorio nació en el sevillano barrio de Triana el 1 de abril de 1975. Con 17 años ya sabía que su futuro estaría unido al mundo de la música. Manu ha pertenecido a varios grupos como ""La Farándula"" y ""De Madera"". Uno de sus mejores amigos fue quien vio el anuncio del casting de Operación Triunfo y le animó a presentarse, este matiz cambió completamente el rumbo de su vida. Concebido como un reality <a href=""https://www.last.fm/music/Manu+Tenorio"">Read more on Last.fm</a>",10610,48227,"['Carlos Ponce', 'David Civera', 'David Bustamante', 'Nuria Fergó', 'La Banda Del Capitan Canalla']"
Saga WhiteBlack," <a href=""https://www.last.fm/music/Saga+WhiteBlack"">Read more on Last.fm</a>",234,878,[]
