artist,Biography,Listeners,Playcount,Similar Artists
CLC,"CLC (Hangul: 씨엘씨; an acronym for ""CrystaL Clear"") was a South Korean girl group formed by Cube Entertainment in 2015. The group's most active line-up was formed by 7-members: Seunghee (승희),  Yujin (유진), Seungyeun (승연), Sorn (쏜),  Jang Ye Eun (예은), Elkie (엘키) and Eunbin (은빈).

In 2014, Cube Entertainment teased their first girl group in five years since 4minute. Prior to their debut, CLC made their first appearance as back-up dancers for G. <a href=""https://www.last.fm/music/CLC"">Read more on Last.fm</a>",357910,16811608,"['gugudan', 'Weki Meki', 'Cherry Bullet', 'BVNDIT', 'Yeeun']"
Ylli Demaj," <a href=""https://www.last.fm/music/Ylli+Demaj"">Read more on Last.fm</a>",259,2007,"['Gold Ag', 'Shyhrete Behluli', 'Remzie Osmani', 'Shaqir Cervadiku', 'Yllka Kuqi']"
Assala Nasri,"Assala was born in Damascus, Syria[1] to a middle class couple. Mostafa Nasri, Assala's father, was a revered composer and singer. Assala began her musical career by performing patriotic, religious, and children's songs when she was four years old. She sang the theme song ""Qessas Al Sho'oub"" (Arabic: قصص الشعوب), of the cartoon show, Hekayat Alamiyah (Arabic: حكايات عالمية). In 1986, Mostafa Nasri died after suffering from internal bleeding caused by a car accident. <a href=""https://www.last.fm/music/Assala+Nasri"">Read more on Last.fm</a>",16079,369082,"['Sherine Abdel Wahab', 'Elissa', 'Hussain Al Jassmi', 'Mohamed Hamaki', 'Ramy Gamal']"
Eddy Kim,"Kim Jung-hwan (Korean: 김정환; born November 23, 1990), better known by his stage name Eddy Kim (Korean: 에디킴) is a South Korean singer, songwriter and guitarist. He known as the Top 6 of Mnet's Superstar K4. On April 2, the singer released the music video to ""2 Years Apart,"" the title track of his first mini album, ""The Manual."" He released The Manual on April 11, 2014. He is currently signed to Mystic89. <a href=""https://www.last.fm/music/Eddy+Kim"">Read more on Last.fm</a>",76773,783428,"['DAVICHI', 'Gaho', 'Gummy', 'Kim Jong Wan of NELL', 'Sam Kim']"
Jey V," <a href=""https://www.last.fm/music/Jey+V"">Read more on Last.fm</a>",4267,29881,"['Master Jake', 'Ricky Boy', 'Badoxa', 'Boy Teddy', 'Jay Oliver']"
M.Que," <a href=""https://www.last.fm/music/M.Que"">Read more on Last.fm</a>",9,101,[]
Epik High,"Epik High (에픽하이) is an alternative hip hop group from Seoul, South Korea, composed of three members—Tablo (타블로; Real name: Daniel Armand Lee, Lee Seon-woong (이선웅)), Mithra Jin (Mithra 眞, 미쓰라 진, 미쓰라 眞; Real name: Choi Jin (최진)), and DJ Tukutz (DJ 투컷; Real name: Kim Jeong-sik (김정식)). All three members of Epik High can sing, write lyrics, and compose and arrange music. Their music has been known to be a ""lyrical piece of literature"" and ""urban poetry"" <a href=""https://www.last.fm/music/Epik+High"">Read more on Last.fm</a>",353062,21751653,"['Tablo', 'CODE KUNST', 'ZICO', 'pH-1', 'Zion.T']"
Mc Kresha,"MC Kresha is Kosovo's one of the finest Hip-Hop MC's on the scene representing Tavnik City. He got famous in the international scene with songs like ""Lej Flleshat"" and the collaboration with Dr.Mic ""Lyrical Warfare"" was quite successful too. 

After that summer he produced his first solo album named ""Patikat e Mija"". With songs like ""Not U"", ""Poem"", ""Lej Flleshat"" etc. Later he made an album with Lyrical Son in their studio called P.I.N.T.(perinatinjonitjetrit). <a href=""https://www.last.fm/music/MC+Kresha"">Read more on Last.fm</a>",9953,431194,"['Lyrical Son', 'lluni', 'Ledri Vula', 'BUTA', 'Capital T']"
Anna Shulgina," <a href=""https://www.last.fm/music/Anna+Shulgina"">Read more on Last.fm</a>",36,138,"['Yulianna Karaulova', 'Tetiana Reszetniak', 'Barbi Escobar', 'Ingrid Berg Mehus', 'Анна Шульгина']"
AKA,"There are at least nine artists that have used the name AKA.
1) AkA  (Electronic project)
2) AKA (Rock band, Indonesia)
3) AKA (Pop-punk band, USA)
4) AKA (No Wave band, Canada)
5) AKA (New media composer)
6) AKA (Rapper, Finland)
7) AKA (Punk band, USA)
8) Aka (Rapper, France)
9) AKA (Rapper, South Africa)

1) AkA Electronic Music project was grounded in 1993 by Henri Sizaret with the aim to go further in the inspiration triggered by the work of Richard H. Kirk, Uwe Schmidt and Vince Clarke.  <a href=""https://www.last.fm/music/AKA"">Read more on Last.fm</a>",32796,348074,[]
