artist,Biography,Listeners,Playcount,Similar Artists
Eddie Dee,"Born in Rio Piedras, Puerto Rico, to parents Diomaris Ortiz and Eddie Avila (April 26, 1977), Eddie Alexander Avila Ortiz did not waste much time before jumping into the music world with both feet. He had made clear from a young age that he longed to be a singer, and began singing and writing his own songs as early as age ten. Eddie Dee began making television appearances dancing and performing starting in 1990, and released his debut record, Eddie Dee & the Ghetto Crew, by 1993. <a href=""https://www.last.fm/music/Eddie+Dee"">Read more on Last.fm</a>",79134,350180,"['Yaga y Mackie', 'Cheka', 'Johnny Prez', 'Angel Doze', 'Magnate Y Valentino']"
"Galante ""El Emperador"""," <a href=""https://www.last.fm/music/Galante+%22El+Emperador%22"">Read more on Last.fm</a>",8957,85863,"['Musicologo y Menes', 'Gotay ""El Autentiko""', 'Sammy & Falsetto', 'Juno ""The Hitmaker""', 'D.Ozi']"
Triple Seven,"Doble bendición para Triple Seven
Por: Eira Y. Canales Cosme
EL VOCERO

El binomio de reggaetoneros Pichie y Aby, mejor conocido como “Triple Seven”, se encuentra muy entusiasmado con la materialización de su propio sello disquero “T7 Música”, el cual persigue producir nuevos talentos en el género de reggaetón cristiano.

La noticia del lanzamiento de la disquera, representa un triunfo para el reggaetón, ya que en sus inicios fue un género fuertemente rechazado por los sectores religiosos más conservadores. <a href=""https://www.last.fm/music/Triple+Seven"">Read more on Last.fm</a>",4927,38353,"['7th Poet', 'Redimi2', 'Joel Upperground', 'Natan el Profeta', 'Abdi']"
Klasico," <a href=""https://www.last.fm/music/Klasico"">Read more on Last.fm</a>",47689,292481,"['Ozuna', 'Nicky Jam', 'Plan B', 'Baby Rasta y Gringo', 'Arcángel']"
Alex Zurdo," <a href=""https://www.last.fm/music/Alex+Zurdo"">Read more on Last.fm</a>",15824,390861,"[""Christine D'Clario"", 'Manny Montes', 'Lilly Goodman', 'Rojo', 'Samuel Hernández']"
Revol," <a href=""https://www.last.fm/music/Revol"">Read more on Last.fm</a>",66400,581108,"['Brytiago', 'Juhn', 'TRAP CAPOS', 'dj Luian', 'Bryant Myers']"
Don Chezina,"Don Chezina (real name Ricardo Garcia Ortiz), born in Georgia, U.S. in 1976, is a singer, producer, and talent scout of reggaeton music.He is known throughout the world for his high, nasal voice and fast rapping style (known as ""Puerto Rico's Machine Gun Rapper""), along with his most famous song ""Tra Tra Tra"". Don Chezina is perhaps best known for the first use of the word ""Reggaeton"" in a hit song.


Don chezina cantante , compositor del genero del Reggaeton desde 1994 <a href=""https://www.last.fm/music/Don+Chezina"">Read more on Last.fm</a>",30383,124194,"['Johnny Prez', 'DJ Blass', 'Las Guanabanas', 'Ruben Sam', 'Eddie Dee']"
Andy Rivera,"Andrés Felipe Rivera Galeano nació en Pereira, hijo del cantante y compositor de música popular Jhonny Rivera y de Luz Galeano. Con su padre fue siguiendo el mismo paso de la música tempranamente a los 12 años, en los tiempos libres se dedicaba a la vocalización y al piano.

Su padre lo inclinó por la música aunque el escogió el género urbano. Su primer sencillo contó con el apoyo de su amigo Pipe Calderon y su productor Dj Cano quienes realizaron ""En Busca De Ella"". <a href=""https://www.last.fm/music/Andy+Rivera"">Read more on Last.fm</a>",70388,641003,"['Farruko', 'Reykon', 'Dalex', 'Piso 21', 'Gigolo y La Exce']"
Beyoncé,"Beyoncé Giselle Knowles-Carter is an American singer, songwriter, businesswoman, and actress. Beyoncé performed in various singing and dancing competitions as a child and rose to fame in the late 1990s as the lead singer of Destiny's Child, one of the best-selling girl groups of all time. Beyoncé herself is the best-selling black female musician of all time and second best-selling female artist of all time, behind only Madonna. With 35 wins and <a href=""https://www.last.fm/music/+noredirect/Beyonc%C3%A9"">Read more on Last.fm</a>",5963343,562438315,"['The Carters', ""Destiny's Child"", 'Chloe x Halle', 'Chlöe', 'Victoria Monét']"
Black Slate,"
Black Slate was formed in 1974, including musicians from England, Jamaica, and Anguilla.[2] They backed several Jamaican singers, including Delroy Wilson and Ken Boothe on their UK appearances, and had their first reggae-chart hit themselves in 1976, with the anti-mugging song ""Sticks Man"",[1][2] also lined up with Disco Reggae Band under Disco Reggae Band & Black Slate. The record hit the Dutch[3] and Flemish charts as well, after being an underground hit in Antwerp discothèques. <a href=""https://www.last.fm/music/Black+Slate"">Read more on Last.fm</a>",24058,103776,"['Aswad', ""Mungo's Hi Fi"", 'Culture', 'Burning Spear', 'Dennis Brown']"
Zion,"There are at least five artists named Zion.

1. The most popularly scrobbled Zion is a reggaeton artist/singer, of the reggaeton duo Zion y Lennox.
Felix G. Ortiz-Torrez, professionally known as Zion (of Reggaeton group Zion y Lennox) is world renowned for romantic lyrics and a melodic sound that flows fluidly over Reggaeton rhythms. As part of the duo Zion y Lennox, he released a number of hit singles, including “Yo Voy,” and earned a gold plaque for their 2004 release, Motivando A La Yal. <a href=""https://www.last.fm/music/Zion"">Read more on Last.fm</a>",263648,2292415,"['Tony Dize', 'Wisin & Yandel', 'J Alvarez', 'Don Omar', 'Alexis y Fido']"
