artist,Biography,Listeners,Playcount,Similar Artists
Karamelo Santo,"Karamelo Santo, most likely Argentina’s most famous musical export in this genre, will be back again this year for clubshows and festivals, to rock us with their explosive sound of LatinSka, Reggae, Cumbia, Rock and Punk. Their energy is amazing: along with touring the world, they also managed to record a new album: „Antena Patchamama“ goes back to the roots, a very Ska-Punk focused album, of course with the typical dash of Reggae and lots of <a href=""https://www.last.fm/music/Karamelo+Santo"">Read more on Last.fm</a>",83209,560304,"['Hot Pants', 'Fermin Muguruza', 'Go Lem System', 'Che Sudaka', 'La Kinky Beat']"
Inspector,"There are 2 bands with this name:

1. Mexican ska revival ensemble Inspector comprises singer Javier Sánchez aka Big Javi, drummer David Martínez aka Tribi, bassist Arnoldo Ortega aka Lolo, sax players Jaime González aka Jimmy and Jesús Arriaga aka Padrino, guitarist Alejandro Ortega aka Güero, keyboardist Homero Ontiveros aka Marango and trumpeter Jesús Lemo. The band debuted in 1995 with the independently produced Misión Ska, featuring five original songs. <a href=""https://www.last.fm/music/Inspector"">Read more on Last.fm</a>",117959,1858048,"['Panteón Rococó', 'Los Estrambóticos', 'El Gran Silencio', 'Los Caligaris', 'Salón Victoria']"
Los Esquizitos,"“The contracted debt with Los Esquizitos is initial. Its direct influence can be found in the epidemic they spread without asking for it, by chance. In the quarry of their obsessions, a side b of a scene subdued to the no-longer-charming hit, was carved; because first of all, Los Esquizitos listened and listen to music. In a stupid and insistent way, as if by having it, they could lack everything else. The reasons to form a band are infinite. Theirs was out of urgency, to plug and brake. <a href=""https://www.last.fm/music/Los+Esquizitos"">Read more on Last.fm</a>",11836,125696,"['Sr. Bikini', 'Fenomeno Fuzz', 'Yucatán A Go-Go', 'Telekrimen', 'Los Elasticos']"
Intoxicados,"Banda de Cristian 'el Pity' Alvarez, formada al finalizar Viejas Locas. Mas alla del Rock Stone caracteristico, tambien exploran en el hip-hop, reggae o con bases electronicas <a href=""https://www.last.fm/music/Intoxicados"">Read more on Last.fm</a>",106131,2712918,"['Viejas Locas', 'Callejeros', 'Patricio Rey y sus Redonditos de Ricota', 'Los Piojos', 'Ciro y Los Persas']"
Teenage Bottlerocket,"Teenage Bottlerocket is a pop-punk/punk rock band from Laramie, Wyoming, formed in 2001. The band was formed by twin brothers Ray and Brandon Carlisle after their previous band Homeless Wonders broke up in 2000, and is completed by Kody Templeman and Miguel Chen. The band's music is heavily influenced by Kody's other band, The Lillingtons.

The band released their debut EP A Bomb on a Laramie communal label, One Legged Pup, in 2002 and soon after on October 31st 2003  the band released their first album <a href=""https://www.last.fm/music/Teenage+Bottlerocket"">Read more on Last.fm</a>",175779,5582139,"['Not On Tour', 'Allister', 'The Lillingtons', 'Useless ID', 'Authority Zero']"
Toots & The Maytals,"Originally called simply The Maytals, are considered legends of ska and reggae music. They are from Kingston, Jamaica. Their sound is a unique, original combination of gospel, ska, soul, reggae and rock. Frederick ""Toots"" Hibbert, the leader of the group, was born in May Pen in the Parish of Clarendon, Jamaica. He was the youngest of seven children. He grew up singing gospel music in a church choir, but moved to Kingston in 1961 at the age of sixteen. <a href=""https://www.last.fm/music/+noredirect/Toots+&+The+Maytals"">Read more on Last.fm</a>",199342,2137262,[]
The Interrupters,"The Interrupters are an American ska punk band formed in Los Angeles, California, in 2011. The band comprises lead vocalist Aimee Interrupter, drummer Jesse Bivona, bassist Justin Bivona, and guitarist Kevin Bivona. They have released four studio albums. The latest, In the Wild, was released in 2022, along with the album's lead single, ""Raised by Wolves"" <a href=""https://www.last.fm/music/The+Interrupters"">Read more on Last.fm</a>",196368,4942147,"['Rancid', 'Lars Frederiksen and the Bastards', 'Mad Caddies', 'The Bouncing Souls', 'Less Than Jake']"
ZOO,"There are more than one artist with this name:

1) A rap band formed in 2014 from the city of Gandia in the province of Valencia, Spain. They sing in Valencian and the songs have political lyrics. They are known for incorporating different genres and instruments in the background music. Their music can also be classified under the genres of hip-hop, rock ska and electronics as well as rap. The band was formed by  Panxo (Toni Sánchez), former member of Orxata Sound System and Sophy Zoo. <a href=""https://www.last.fm/music/Zoo"">Read more on Last.fm</a>",41570,1058544,"['La Raíz', 'The Tyets', 'Oques Grasses', 'Manel', 'Figa Flawas']"
Denise Gutiérrez," <a href=""https://www.last.fm/music/Denise+Guti%C3%A9rrez"">Read more on Last.fm</a>",1432,6912,"['Banda Filarmonica del CECAM', 'Flor Amargo', 'Centavrvs', 'Madame Récamier', 'Emmanuel del Real']"
Barcelona Gipsy balKan Orchestra,"The Barcelona Gipsy Balkan Orchestra (Stylised Barcelona Gipsy balKan Orchestra), previously known as Barcelona Gipsy Klezmer Orchestra, and also known as BGKO for short, is a band based in Barcelona, Spain, that focuses on traditional music of the Balkans, Mediterranean, and Middle East. <a href=""https://www.last.fm/music/Barcelona+Gipsy+Balkan+Orchestra"">Read more on Last.fm</a>",9224,117997,[]
