genre,name,artists_name,album_name,album_release_date,duration_ms,popularity,track_number,uri
flamenco_pop,Uno X Uno,Manuel Carrasco,Bailar El Viento,2015-10-30,229720,65,5,spotify:track:75K7Mczlt0zxANo8MEOaAu
flamenco_pop,La Isla del Amor (feat. Maki),"Demarco Flamenco, Maki",Uno,2017-03-03,219413,64,6,spotify:track:0Gw9QC3RqHmTdGqHIWLHb6
flamenco_pop,Yo soy pa ti,Antoñito Molina,Déjame que te cuante,2017-02-13,247000,62,3,spotify:track:6L1437Rw12WPF1gdcayIJg
flamenco_pop,Mi Héroe,Antonio Orozco,Destino,2015-12-04,234964,62,5,spotify:track:01SoeJJ3ICXaWLBp1jnWk8
flamenco_pop,Como Te Imaginé,Demarco Flamenco,Uno,2017-03-03,212680,62,1,spotify:track:2GhboGOQfXTIUpFvuSzYgf
flamenco_pop,Todos los Besos,Los Rebujitos,Tras la Máscara,2016-05-20,251440,61,10,spotify:track:5Tqzffefo3Ua5G9ScLAnBe
flamenco_pop,Ya No,Manuel Carrasco,Bailar El Viento,2015-10-30,226160,61,3,spotify:track:4lWnNqKJmhxrgzidQmXB94
flamenco_pop,Las Costuras Del Alma,El Barrio,Las Costuras Del Alma,2017-10-27,232973,59,2,spotify:track:7GUOlN6JoEkkEdjsdrqQCK
flamenco_pop,De Lobo A Cordero,El Barrio,Hijo Del Levante (Edición Deluxe),2014-10-21,248466,57,8,spotify:track:1kSk7IdPoMRlJH4boJg7cM
flamenco_pop,Pastillas para Dormir,Estopa,Rumba a Lo Desconocido,2015-10-02,197800,56,2,spotify:track:0CQPWcVvEP0YqJudrQp3Pt
flamenco_pop,He Vuelto,El Barrio,Hijo Del Levante (Edición Deluxe),2014-10-21,276226,56,2,spotify:track:1uJnb0kS96zFOrjCI97JV8
flamenco_pop,Lo Que Me Gusta de Ti,Los Rebujitos,Tras la Máscara,2016-05-20,229075,55,1,spotify:track:42oa90Z5a2XXWPJFGfFBig
flamenco_pop,Y Ahora,Manuel Carrasco,Confieso Que He Sentido,2013-01-01,255546,55,3,spotify:track:5yGc2fIy4KQn92f9d2K5gv
flamenco_pop,Mi Religion,Maka,Raíces,2016-06-24,232204,55,7,spotify:track:5u8kHsJO5BU0JQmeRu7745
flamenco_pop,Princesa de mi cuento,Sergio Contreras,#AmorAdicción,2013-08-27,198692,54,3,spotify:track:2JkJ0E1KFU6HatD5Y21YfX
flamenco_pop,Torpe Canción,El Barrio,Las Costuras Del Alma,2017-10-27,295133,53,3,spotify:track:0b4fvNuA8vzlOKUbKC6oJO
flamenco_pop,A Un Milímetro De Ti,Antonio José,A Un Milímetro De Ti,2017-11-03,229198,59,1,spotify:track:3iXzP5MqfZF3vXekc94arR
flamenco_pop,Niña Voladora,Juanito Makandé,Las Canciones Que Escribí Mientras Volaba,2014-11-15,222839,55,5,spotify:track:7kvcXyMPrnMNzOYcBbikvF
flamenco_pop,Polvo de mariposas,Vanesa Martín,Crónica de un baile,2014-09-02,232351,55,4,spotify:track:4QAE3QvuxyX7v7cos1pOiC
flamenco_pop,Yo no quiero para mí,Antoñito Molina,Déjame que te cuante,2017-02-13,241053,53,2,spotify:track:3DhmdOCSGqXKHZeQILc8uR
flamenco_pop,Conmigo,"Moncho Chavea, Omar Montes",Conmigo,2017-06-27,203265,53,1,spotify:track:2U6ssrmGx4DAD5rH8rPb3R
flamenco_pop,Me ha dicho la luna,Raya Real,Canciones desde el otro lado del mar,2015-04-07,209493,53,10,spotify:track:2YBTmUPlysBIADtzjkL7yg
flamenco_pop,Te Deseo,Galvan Real,Te Deseo,2017-06-13,196899,53,1,spotify:track:0CuvuDiko3NpeTxMLfM0ux
