genre,name,artists_name,album_name,album_release_date,duration_ms,popularity,track_number,uri
k_pop,BANG BANG BANG,BIGBANG,MADE,2016-12-13,220177,78,7,spotify:track:3dI59jLoFMjMAyUAyRZnkE
k_pop,BOOMBAYAH,BLACKPINK,SQUARE ONE,2016-08-08,240793,76,2,spotify:track:13MF2TYuyfITClL1R2ei6e
k_pop,As If It's Your Last,BLACKPINK,As If It's Your Last,2017-06-22,213264,77,1,spotify:track:4ZxOuNHhpyOj4gv52MtQpT
k_pop,Blood Sweat & Tears,BTS,Wings,2016-10-10,217051,75,2,spotify:track:2u54HNQamwFuOMLSuhSRom
k_pop,Spring Day,BTS,You Never Walk Alone,2017-02-13,274097,76,15,spotify:track:2j1fFjWHCI9KJSwcuYAOyF
k_pop,Pied Piper,BTS,Love Yourself 承 'Her',2017-09-18,245620,73,5,spotify:track:1ZPeaPDjQOOC8hw1mNjyjF
k_pop,PLAYING WITH FIRE,BLACKPINK,SQUARE TWO,2016-11-01,197288,74,1,spotify:track:7qmvLmX9tyaTiBAVNI6YEn
k_pop,DNA,BTS,Love Yourself 承 'Her',2017-09-18,223122,73,2,spotify:track:3uRLwBjI2TahxslcMTvpFs
k_pop,I Need U,BTS,The Most Beautiful Moment in Life Pt.1,2015-04-29,210986,73,2,spotify:track:3wQnyXNFXNUEOBt1pb4urq
k_pop,WHISTLE,BLACKPINK,SQUARE ONE,2016-08-08,211631,73,1,spotify:track:6NEoeBLQbOMw92qMeLfI40
k_pop,Silver Spoon,BTS,The Most Beautiful Moment in Life Pt.2,2015-11-30,233160,71,6,spotify:track:6O734u9qnz6B4gWMyszWhi
k_pop,Burning Up (Fire),BTS,The Most Beautiful Moment in Life: Young Forever,2016-05-02,203351,70,10,spotify:track:0aE3V0zgSD2YwkEHW42gxG
k_pop,Run,BTS,The Most Beautiful Moment in Life Pt.2,2015-11-30,236748,71,2,spotify:track:3G1aAxWS2Nd17FQs4PWV6X
k_pop,House of Cards (Full Length Edition),BTS,The Most Beautiful Moment in Life: Young Forever,2016-05-02,226212,72,5,spotify:track:6S2gYweMmT6xygVh5q3QLa
k_pop,Save Me,BTS,The Most Beautiful Moment in Life: Young Forever,2016-05-02,196505,71,11,spotify:track:7bxGcILuAjkZzaveU28ZJS
k_pop,Not Today,BTS,You Never Walk Alone,2017-02-13,231859,69,16,spotify:track:3wyrhwPpV8uhMMEms4vG3X
k_pop,Butterfly,BTS,The Most Beautiful Moment in Life Pt.2,2015-11-30,238861,71,3,spotify:track:3bjg5cbmuwDoS7e2dAWyRG
k_pop,Dope,BTS,The Most Beautiful Moment in Life Pt.1,2015-04-29,240020,70,5,spotify:track:7jPCPDYoiaKeK7cgNGpIzq
k_pop,Boy in Luv,BTS,Skool Luv Affair,2014-02-12,230778,70,2,spotify:track:3FnDv33WrrMtuEr7hNR3ev
k_pop,dimple,BTS,Love Yourself 承 'Her',2017-09-18,196776,70,4,spotify:track:6pp6xf9zS55GD4nr318XUH
k_pop,Dream lantern,RADWIMPS,Your Name.,2016-08-24,131666,67,1,spotify:track:5mEqD00bdFcsiVd0MfvEeF
k_pop,Miniskirt,AOA,MINISKIRT,2014-01-16,179808,72,2,spotify:track:6Yj8kVuVR3UPxx9r5eFEoV
k_pop,Zenzenzense - movie ver.,RADWIMPS,Your Name.,2016-08-24,285880,66,8,spotify:track:2DLrgv7HhJanCuD8L9uJLR
k_pop,No More Dream,BTS,2 Cool 4 Skool,2013-06-12,222066,68,4,spotify:track:089PFeXotzDLNQz9NCk6pF
k_pop,Danger,BTS,Dark & Wild,2014-08-20,245140,68,2,spotify:track:0zzRxtfO5FGxKdqq4OKmlw
k_pop,Go Go,BTS,Love Yourself 承 'Her',2017-09-18,235779,68,8,spotify:track:5vOT8VO87TAnUjh0oADwb1
k_pop,Best Of Me,BTS,Love Yourself 承 'Her',2017-09-18,227191,68,3,spotify:track:5C6A1WXVfKvBBQmaFFnBgs
k_pop,Just One Day,BTS,Skool Luv Affair,2014-02-12,239469,70,5,spotify:track:6t7WriKgVszATnrdBKSUAf
k_pop,BANG BANG BANG,BIGBANG,A,2015-06-01,220177,62,1,spotify:track:36tSJjMdDZeQFFIZIHYtd8
k_pop,러시안 룰렛 Russian Roulette,Red Velvet,Russian Roulette - The 3rd Mini Album,2016-09-07,211243,70,1,spotify:track:5HiSc2ZCGn8L3cH3qSwzBT
k_pop,Lie,BTS,Wings,2016-10-10,215752,66,4,spotify:track:1nWB8isqs2tviWk20G5pow
k_pop,MIC Drop,BTS,Love Yourself 承 'Her',2017-09-18,238193,67,7,spotify:track:4gZGAVECoiutzp64KSHNjE
k_pop,CHEER UP,TWICE,PAGE TWO,2016-04-25,208853,69,1,spotify:track:7lB4rxNVc7vm33ZSZXVRAQ
k_pop,Like,BTS,2 Cool 4 Skool,2013-06-12,231893,68,6,spotify:track:55Ctj6nVfobn9AcPe6sLG2
k_pop,MOMMAE (Feat. Ugly Duck),"Jay Park, Ugly Duck",WORLDWIDE,2015-11-05,204991,67,4,spotify:track:1LNlfvPQmB0cqYJQQskZ8x
k_pop,Epilogue: Young Forever,BTS,The Most Beautiful Moment in Life: Young Forever,2016-05-02,171803,65,12,spotify:track:6BskTMfDjXVzeqQHOau5Vi
k_pop,Stay With Me,"CHANYEOL, Punch","Guardian (Original Television Soundtrack), Pt. 1",2016-12-03,192441,72,1,spotify:track:1HYzRuWjmS9LXCkdVHi25K
k_pop,War of Hormone,BTS,Dark & Wild,2014-08-20,265602,65,3,spotify:track:29SjtKzBoJDgyIBusHylIS
k_pop,STAY,BLACKPINK,SQUARE TWO,2016-11-01,230322,68,2,spotify:track:3tP6QKbXvtrxiDI7QwKyUf
k_pop,VERY NICE,SEVENTEEN,Love&Letter repackage album,2016-07-04,192092,70,2,spotify:track:1Rrj7KyS2R6SP9CQMDJW1w
k_pop,Nandemonaiya - movie ver.,RADWIMPS,Your Name.,2016-08-24,344053,65,27,spotify:track:7dEfa89dZfo6CQPdsgGCF6
k_pop,BTS Cypher 4,BTS,Wings,2016-10-10,294463,64,11,spotify:track:4cTSnpyaIR1qGaTOLJunDM
k_pop,Tomorrow,BTS,Skool Luv Affair,2014-02-12,261574,64,6,spotify:track:0JkTVcN5kilfMztDb3bKZk
