genre,name,artists_name,album_name,album_release_date,duration_ms,popularity,track_number,uri
reggae,"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)","Maluma, Trap Capos, Noriel, Bryant Myers, Juhn","Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",2016-10-07,278106,83,1,spotify:track:0JoHqmlqE0W0i9prt6kcHR
reggae,Hasta Que Me Muera,Bryant Myers,Hasta Que Me Muera,2016-11-25,179025,78,1,spotify:track:7quuwATpqJ08SMd21aXLVM
reggae,Esclava - Remix,"Bryant Myers, Anonimus, Anuel AA, Almighty",Esclava (Remix),2016-01-01,281522,80,1,spotify:track:0fOjPUdkQjLH0aoGa5p5h4
reggae,Borro Cassette,Maluma,"Pretty Boy, Dirty Boy",2015-10-30,207306,85,1,spotify:track:6DUdDIRgLqCGq1DwkNWQTN
reggae,Sola (Remix),"Anuel AA, Daddy Yankee, Zion & Lennox, Farruko, Wisin",Sola (Remix),2016-12-01,307910,81,1,spotify:track:5q2JbCNi4FcnglgPfxcV65
reggae,Se Preparó,Ozuna,Odisea,2017-08-25,188080,83,3,spotify:track:1m69ELEgE6k5ZWsap40ozt
reggae,Diles,"Bad Bunny, Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz",Diles,2016-08-26,286040,81,1,spotify:track:6C1RD7YQVvt3YQj0CmuTeu
reggae,El Perdedor,Maluma,"Pretty Boy, Dirty Boy",2015-10-30,206693,83,3,spotify:track:1iEwyiSLAunPR6uouANE0O
reggae,Te Pintaron Pajaritos,"Yandar & Yostin, Andy Rivera",Te Pintaron Pajaritos,2016-12-30,172558,75,5,spotify:track:4jY5SnGbpH6FdGCqVbhOD4
reggae,Manicomio,Cosculluela,Blanco Perla,2016-03-15,228666,77,4,spotify:track:3UVM7rdOSbm2vKDXB9SsWo
reggae,Por Fin Te Encontré,"Cali Y El Dandee, Juan Magán, Sebastian Yatra",Por Fin Te Encontré,2015-09-24,250836,75,1,spotify:track:2DAULesb1U4Qz4FSTZpEUJ
reggae,Guaya Guaya,Don Omar,The Last Don II,2015-06-16,193613,80,2,spotify:track:79zvVrn65ksbiGQxrtV4I5
reggae,Caile,"Bad Bunny, Bryant Myers, De La Ghetto, Revol, Zion",Caile,2016-12-25,300187,76,1,spotify:track:5lr877wwUsB8inLGywHKxa
reggae,No Te Hagas,"Jory Boy, Bad Bunny",No Te Hagas,2017-03-11,233250,80,1,spotify:track:5hKjEpYrJIJs6uPl7zw6Y6
reggae,Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),"Arcángel, Bad Bunny, Mambo Kingz, DJ Luian",Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),2016-09-30,264000,79,1,spotify:track:6NSMQFKgjpQb0KkjMDYIK0
reggae,Fanática Sensual,Plan B,Love And Sex,2014-08-25,240320,73,4,spotify:track:5ZFpEsxK5VlLkJi3v7ar2Y
reggae,Amigos y Enemigos (feat. Bad Bunny & Almighty) - Remix,"Trap Capos, Noriel, Bad Bunny, Almighty",Amigos y Enemigos (Remix),2017-02-06,295304,75,1,spotify:track:2sA4woGW5KgEgGXXxOKPAZ
reggae,Diablita (feat. Anuel AA & Baby Rasta),"Trap Capos, Noriel, Anuel AA, Baby Rasta",Trap Capos: Season 1,2016-10-07,213613,74,3,spotify:track:62NeZ2Vtrz5HgtQibleMNs
reggae,Candy,Plan B,Love And Sex,2014-08-25,207626,74,14,spotify:track:2ctjDCCg1wHoQSjIJ8p6U4
reggae,Te Busco,"Cosculluela, Nicky Jam",Te Busco,2015-07-04,233639,79,1,spotify:track:2hi1aFllOFRNH8gIHxQvD9
reggae,No Love,"Anuel AA, Spiff TV",No Love,2016-07-30,208445,72,1,spotify:track:32Cg0fAMbosGzbfeqQFrnw
reggae,Un Ratito Mas,"Bryant Myers, Bad Bunny",Un Ratito Mas,2017-06-05,283120,74,1,spotify:track:2SzgK8i6si6ETtu57nTdSn
reggae,Ahora Dice,"Chris Jedi, J Balvin, Ozuna, Arcángel",Ahora Dice,2017-03-17,270493,77,1,spotify:track:5lhcHMDQpNwhM62lSOrvLf
reggae,Netflixxx,"Brytiago, Bad Bunny",Netflixxx,2017-06-29,219007,77,1,spotify:track:4WDSPCfr60K0HI7YYhEHKu
reggae,Vuelve,"Daddy Yankee, Bad Bunny",Vuelve,2017-09-29,279613,77,1,spotify:track:0gCPvo1GkbtPhMqg5Gbx1K
reggae,El Farsante,Ozuna,Odisea,2017-08-25,233826,77,13,spotify:track:5EId1m4DNwTf3at31w8bPJ
reggae,Pa Ti,"Bad Bunny, Bryant Myers",Pa Ti,2017-01-02,191294,76,1,spotify:track:2QrGCbW0ylj94JfkgLZFlA
reggae,Me Mata,"Bad Bunny, Mambo Kingz, DJ Luian, Arcángel, Almighty, Bryant Myers, Noriel, Baby Rasta, Brytiago",Me Mata,2017-04-11,412631,76,1,spotify:track:2wgDAPgBhFA7pnIbm0YOhP
reggae,Encantadora,Yandel,Dangerous,2015-11-06,240093,82,7,spotify:track:7LABrQFfRYcZUqUwng0Heb
reggae,Reggaetón Lento (Bailemos),CNCO,Primera Cita,2016-08-26,222560,75,3,spotify:track:3AEZUABDXNtecAOSC1qTfo
reggae,Hola beba,Cosculluela,Blanco Perla,2016-03-15,278471,72,10,spotify:track:4AUH1recgWhHM4368o1BuE
reggae,Percocet (Remix),"Alex Rose, Lenny Tavárez, Quimico Ultra Mega, Chris Wandell",Percocet (Remix),2017-05-10,314671,72,1,spotify:track:7jFl7qbhtGg81SkszfgVGF
reggae,La Oportunidad,Rauw Alejandro,La Oportunidad,2017-03-03,255807,65,1,spotify:track:3WvVLW5vG7A3rFNHvbb4pt
reggae,Me Rehúso,Danny Ocean,Me Rehúso,2016-09-16,205714,77,1,spotify:track:6De0lHrwBfPfrhorm9q1Xl
reggae,Si Tu Novio Te Deja Sola,"J Balvin, Bad Bunny",Si Tu Novio Te Deja Sola,2017-03-03,243560,79,1,spotify:track:2joKSGkqac0LIwYG9Ghrwq
reggae,Bonita,"J Balvin, Jowell & Randy",Bonita,2017-06-02,265746,78,1,spotify:track:0atfY1ew83Ql9nNnJiD2t5
reggae,Ay Vamos,J Balvin,La Familia B Sides,2014-09-12,226413,78,1,spotify:track:6Ges5C2IE738iJh4HyQizQ
reggae,"Ella Y Yo (feat. Farruko, Ozuna, Arcangel, Anuel AA, Bryant Myers, Kevin Roldan, Ñengo Flow, Alexis La Bestia & Ñejo) - Remix","Pepe Quintana, Alexis La Bestia, Anuel AA, Arcángel, Bryant Myers, Farruko, KEVIN ROLDAN, Ozuna, Ñejo, Ñengo Flow","Ella Y Yo (feat. Farruko, Ozuna, Arcangel, Anuel AA, Bryant Myers, Kevin Roldan, Ñengo Flow, Alexis La Bestia & Ñejo) [Remix]",2016-07-31,415792,73,1,spotify:track:0O8XuLi337OtgoXUgKORQ5
reggae,Ginza,J Balvin,Energía,2016-06-24,171093,78,13,spotify:track:2C2TGgFzrTRIOdQS1vUN5h
reggae,47 - Remix,"Anuel AA, Ñengo Flow, Sinfonico, Lil Geniuz, Farruko, Casper Magico, Darell, Bad Bunny",47 (Remix),2017-03-31,517599,71,1,spotify:track:2kQDcD7adY2odZLLfIexFj
reggae,Dile Que Tu Me Quieres,Ozuna,Odisea,2017-08-25,226520,77,5,spotify:track:5u5MvmVtitax9R1Mxh3reC
reggae,Síguelo Bailando,Ozuna,Odisea,2017-08-25,226800,72,11,spotify:track:5Y9fnynLlIvqtM710MHzfz
reggae,Locked Away (feat. Adam Levine),"R. City, Adam Levine",What Dreams Are Made Of,2015-10-09,227480,83,2,spotify:track:7x5xYW5W42OGPAdHUyyguy
reggae,Nacimos Pa Morir (feat. Jory Boy),"Anuel AA, Jory Boy",Nacimos Pa Morir (feat. Jory Boy),2016-11-10,268728,72,1,spotify:track:3tEJZO2wMtvhQH5EKfKbkh
reggae,Tu Me Enamoraste - Remix,"Lary Over, Anuel, Bryant Myers, Almighty, Brytiago",Tu Me Enamoraste (Remix),2016-04-02,341134,71,1,spotify:track:7b6QP0Pz2sqyW7yyXodpm6
reggae,Y Si la Ves,Ñejo,Y Si la Ves,2013,201142,60,1,spotify:track:5I1fBcs6zrBcydj9QUMItG
reggae,Mi Vecinita,Plan B,Love And Sex,2014-08-25,182293,68,7,spotify:track:18DmZ510OB9XATcFbQ8vDZ
reggae,Safari,"J Balvin, Pharrell Williams, BIA, Sky Rompiendo",Energía,2016-06-24,205600,77,3,spotify:track:456xBIOmLRoLzCvCzZrWge
reggae,"Quieres Enamorarme (feat. Bryant Myers, Juhn & Baby Rasta)","Trap Capos, Noriel, Bryant Myers, Juhn, Baby Rasta",Trap Capos: Season 1,2016-10-07,258146,69,6,spotify:track:4zbok3tDaKsnL76CQ07L4L
reggae,"Me Pelea (feat. Baby Rasta, Lito Kirino, Miky Woodz, Juhn & Jochy)","Trap Capos, Noriel, Baby Rasta, Lito Kirino, Miky Woodz, Juhn, Jochy",Trap Capos: Season 1,2016-10-07,274240,65,7,spotify:track:3nJPjp2Jo7qcaJM9woArsF
reggae,Mayor Que Yo 3,"Luny Tunes, Daddy Yankee, Don Omar, Wisin & Yandel",Mayor Que Yo 3,2015-10-23,304746,70,1,spotify:track:4777sGsOdoM89vPH3CVoLe
reggae,Cheerleader (Felix Jaehn Remix) - Radio Edit,"OMI, Felix Jaehn",Me 4 U,2015-10-16,180565,84,1,spotify:track:7vFoFDWqTX0mHzLfrF1Cfy
reggae,A Ella,KAROL G,Unstoppable,2017-10-27,198906,76,9,spotify:track:1pkMzGqBBS10nDiiYrNGGJ
reggae,Egoísta,Justin Quiles,La Promesa,2017-03-10,238033,70,5,spotify:track:5ESAML4PZAbsiTK6OgRV2q
reggae,La Rompe Corazones,"Daddy Yankee, Ozuna",La Rompe Corazones,2017-01-13,204520,74,1,spotify:track:2Q85xwXagilpHKTfdrbC7M
reggae,El Perdón (with Enrique Iglesias),"Nicky Jam, Enrique Iglesias",Fénix,2017-01-20,205906,77,21,spotify:track:7qCAVkHWZkF44OzOUKf8Cr
