genre,name,artists_name,album_name,album_release_date,duration_ms,popularity,track_number,uri
ska,A la sombra de la sierra,La Raíz,Así en el Cielo Como en la Selva,2013-03-01,240866,62,3,spotify:track:0nTdFdc20CnqpVnLcrHOUH
ska,Entre poetas y presos,La Raíz,Entre poetas y presos,2016-03-11,267679,61,2,spotify:track:3gf65ld9KKSwgREcvu0uEI
ska,Nos volveremos a ver,La Raíz,Entre poetas y presos,2016-03-11,284769,57,6,spotify:track:78rK4Q1OKNlPh6z9oBtpDT
ska,Rueda la corona,La Raíz,Entre poetas y presos,2016-03-11,238886,57,3,spotify:track:6nkam95CU4eTK98LMwD5iZ
ska,Muérdeles,La Raíz,Entre poetas y presos,2016-03-11,242602,55,7,spotify:track:3E9ZNRQnxgG6oBlFlvbyAi
ska,La hoguera de los continentes,La Raíz,Entre poetas y presos,2016-03-11,192446,55,12,spotify:track:2h54brZ98P2HI2BH0AVi4C
ska,Nuestra Nación,La Raíz,Así en el Cielo Como en la Selva,2013-03-01,237960,55,2,spotify:track:7rWtLHvqSzrlUpw7zJOIKy
ska,Borracha y callejera,La Raíz,Así en el Cielo Como en la Selva,2013-03-01,242569,53,8,spotify:track:29rtKPBEmznoV1r8YqcE2M
ska,Solo quiero de ti,La Raíz,Así en el Cielo Como en la Selva,2013-03-01,165144,53,11,spotify:track:2BvyLMeQrRLtgN9INssBd3
ska,Jilgueros,La Raíz,Así en el Cielo Como en la Selva,2013-03-01,296381,51,1,spotify:track:14lFKZZcHTUSjIworHfnsg
ska,Radio clandestina,La Raíz,Entre poetas y presos,2016-03-11,265822,50,11,spotify:track:55YSze2sVJv8ATJtDW4bAn
ska,Elegiré,La Raíz,Así en el Cielo Como en la Selva,2013-03-01,277413,50,10,spotify:track:1mSf9P7N0lz6ET2URw0Qbc
ska,Ametsetan,En Tol Sarmiento,Ametsetan,2017-11-28,214995,49,13,spotify:track:6SbLKpVuvayhJ8uu9ETHgN
ska,Suya mi guerra,La Raíz,Así en el Cielo Como en la Selva,2013-03-01,339446,47,9,spotify:track:6BLFwcNq7dwHIwlblU2OM1
ska,Por favor,La Raíz,Entre poetas y presos,2016-03-11,232385,46,4,spotify:track:0S9B11jrVLWIwK0I3MUfag
ska,Sexuarekin,En Tol Sarmiento,Zure Mundua,2014-03-13,168853,44,5,spotify:track:6gO6uz7EyRllkycKkHtwfu
ska,Quan caminàvem,Aspencat,Essència,2013-05-05,234893,43,5,spotify:track:4DT0LPAOwvN8vKXsKHeRLn
ska,El mercurio,La Raíz,Entre poetas y presos,2016-03-11,251704,43,8,spotify:track:51xyA18IlMPlfSvuw9hCrM
ska,Llueve en semana santa,La Raíz,Así en el Cielo Como en la Selva,2013-03-01,271455,42,4,spotify:track:75HvIYcP5FP8oD68mRC46d
ska,Donde Duerme El Chamán,"La Raíz, Los Chikos del Maiz",Así en el Cielo Como en la Selva,2013-03-01,231120,42,7,spotify:track:15QEy65VInne56pY3waV0j
ska,Temerario,Itaca Band,Temerario,2015-03-16,201802,42,1,spotify:track:1nO2vGrP18kP5ok92k3MOH
ska,El circo de la pena,La Raíz,Entre poetas y presos,2016-03-11,314305,41,10,spotify:track:20kdTonJiU18XJHRWKxvL7
ska,Dientes Del León,La Raíz,Así en el Cielo Como en la Selva,2013-03-01,267666,41,5,spotify:track:0DxtwZ9NVCEP29TRPPZh5P
ska,Pao Pao Pao,Vendetta,Bother,2016-12-02,202800,41,1,spotify:track:7fn4AeyhcztbC7ovWWI8hX
ska,Still Young,The Cat Empire,Steal the Light,2013-05-17,258573,54,6,spotify:track:730GIYt57qXR0LgXuw7KPn
ska,Zure Mundua,En Tol Sarmiento,Zure Mundua,2014-03-13,222266,39,3,spotify:track:4f3sbs0FIHwHOo2K2LhDCH
ska,Parece mentira,"La Raíz, ZOO",Así en el Cielo Como en la Selva,2013-03-01,206007,39,6,spotify:track:0fZY0qC77MrsFWyq2kdml6
ska,De piedra tu cuerpo,La Raíz,Entre poetas y presos,2016-03-11,248732,39,5,spotify:track:5GTXOSlSVcp48Rs3iBL9IB
ska,Ritmo Hostil,"Funkiwis, La Raíz",Nadie al Volante,2015-01-05,335200,39,5,spotify:track:1N5WcMFmol3gilYfdZAhIT
